shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
770c9aa0-3283-4d77-a606-a32303c5d2f2,15,40.749716,-73.991780,685342.052406730247
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,0,40.749716,-73.991780,0
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,1,40.936162,-73.903009,22035.7084088134688
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,2,41.190104,-73.882939,50322.8575553717965
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,3,41.706241,-73.937903,107897.345779672702
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,4,41.921415,-73.951678,131850.847527481819
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,5,42.254045,-73.798041,170950.226930957346
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,6,42.641685,-73.741372,214303.903630774934
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,7,42.814465,-73.942494,239582.228070125944
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,8,42.953541,-74.219674,266953.135151033057
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,9,43.104900,-75.223045,350229.31835282984
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,10,43.199834,-75.449681,371429.322622291103
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,11,43.076866,-76.170230,431471.767548633507
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,12,43.163683,-77.608484,548602.610028013005
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,13,42.907343,-78.726847,643862.109595013666
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,14,42.878211,-78.873374,656230.594199893996
c7d0a3ac-2f1e-4b35-b4b0-27ce5ad8646e,15,43.113077,-79.031525,685342.052406730247
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,0,44.994954,-73.371291,0
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,1,44.696798,-73.446253,33676.0670688714745
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,2,44.187313,-73.451715,90330.0292299939611
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,3,44.042255,-73.458581,106469.043838448983
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,4,43.853907,-73.389616,128127.904997329082
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,5,43.554567,-73.403360,161431.425648860168
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,6,43.269808,-73.580171,196167.112712832226
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,7,43.082516,-73.810455,224138.873602586071
