trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
244,5,AK_10001,18:25:00,18:25:00,,0,0,192268.20,
244,6,AK_10000,19:00:00,19:00:00,,0,0,214303.90,0
254,0,AK_10006,10:15:00,10:15:00,,0,0,0.00,0
254,1,AK_10005,10:37:00,10:37:00,,0,0,43353.68,0
254,2,AK_10004,10:59:00,10:59:00,,0,0,82453.06,0
254,3,AK_10003,11:20:00,11:20:00,,0,0,106406.56,0
254,4,AK_10002,12:03:00,12:03:00,,0,0,163981.05,0
254,5,AK_10001,12:23:00,12:23:00,,0,0,192268.20,
254,6,AK_10000,12:58:00,12:58:00,,0,0,214303.90,0
245,0,AK_10000,22:45:00,22:45:00,,0,0,0.00,0
245,1,AK_10002,23:26:00,23:26:00,,0,0,49814.26,0
245,2,AK_10003,24:08:00,24:08:00,,0,0,107388.75,0
245,3,AK_10004,24:23:00,24:23:00,,0,0,131342.25,0
245,4,AK_10005,24:43:00,24:43:00,,0,0,170441.63,0
245,5,AK_10006,25:15:00,25:15:00,,0,0,213795.31,0
261,0,AK_10000,23:35:00,23:35:00,,0,0,0.00,0
261,1,AK_10002,24:16:00,24:16:00,,0,0,49814.26,0
261,2,AK_10003,24:58:00,24:58:00,,0,0,107388.75,0
261,3,AK_10004,25:13:00,25:13:00,,0,0,131342.25,0
261,4,AK_10005,25:34:00,25:34:00,,0,0,170441.63,0
261,5,AK_10006,26:05:00,26:05:00,,0,0,213795.31,0
256,0,AK_10006,14:10:00,14:10:00,,0,0,0.00,0
256,1,AK_10005,14:31:00,14:31:00,,0,0,43353.68,0
256,2,AK_10004,14:52:00,14:52:00,,0,0,82453.06,0
256,3,AK_10003,15:15:00,15:15:00,,0,0,106406.56,0
256,4,AK_10002,15:55:00,15:55:00,,0,0,163981.05,0
256,5,AK_10001,16:16:00,16:16:00,,0,0,192268.20,0
256,6,AK_10000,17:48:00,17:48:00,,0,0,214303.90,0
252,0,AK_10006,07:20:00,07:20:00,,0,0,0.00,0
252,1,AK_10005,07:42:00,07:42:00,,0,0,43353.68,0
252,2,AK_10004,08:04:00,08:04:00,,0,0,82453.06,0
252,3,AK_10003,08:20:00,08:20:00,,0,0,106406.56,0
252,4,AK_10002,09:03:00,09:03:00,,0,0,163981.05,0
252,5,AK_10001,09:24:00,09:24:00,,0,0,192268.20,0
252,6,AK_10000,09:58:00,09:58:00,,0,0,214303.90,0
260,0,AK_10006,08:15:00,08:15:00,,0,0,0.00,0
260,1,AK_10005,08:37:00,08:37:00,,0,0,43353.68,0
260,2,AK_10004,08:59:00,08:59:00,,0,0,82453.06,0
260,3,AK_10003,09:20:00,09:20:00,,0,0,106406.56,0
260,4,AK_10002,10:04:00,10:04:00,,0,0,163981.05,0
260,5,AK_10001,10:25:00,10:25:00,,0,0,192268.20,0
260,6,AK_10000,10:54:00,10:54:00,,0,0,214303.90,0
250,0,AK_10006,06:20:00,06:20:00,,0,0,0.00,0
250,1,AK_10005,06:42:00,06:42:00,,0,0,43353.68,0
250,2,AK_10004,07:09:00,07:09:00,,0,0,82453.06,0
250,3,AK_10003,07:20:00,07:20:00,,0,0,106406.56,0
250,4,AK_10002,08:00:00,08:00:00,,0,0,163981.05,0
250,5,AK_10001,08:21:00,08:21:00,,0,0,192268.20,0
250,6,AK_10000,08:55:00,08:55:00,,0,0,214303.90,0
238,0,AK_10006,12:15:00,12:15:00,,0,0,0.00,0
238,1,AK_10005,12:36:00,12:36:00,,0,0,43353.68,0
238,2,AK_10004,12:57:00,12:57:00,,0,0,82453.06,0
238,3,AK_10003,13:20:00,13:20:00,,0,0,106406.56,0
238,4,AK_10002,14:00:00,14:00:00,,0,0,163981.05,0
238,5,AK_10001,14:21:00,14:21:00,,0,0,192268.20,0
238,6,AK_10000,14:55:00,14:55:00,,0,0,214303.90,0
280,0,STOP_1473715,03:52:00,03:52:00,,,,0.00,0
280,1,AK_10020,04:30:00,04:30:00,,,,29111.46,0
280,2,AK_10019,04:46:00,04:46:00,,,,41479.94,0
280,3,AK_10018,05:41:00,05:41:00,,,,136739.44,0
280,4,AK_10017,07:01:00,07:01:00,,,,253870.28,0
280,5,AK_10016,07:41:00,07:41:00,,,,313912.73,0
280,6,AK_10015,07:56:00,07:56:00,,,,335112.73,0
280,7,STOP_1473616,08:57:00,08:57:00,,,,418388.92,0
